"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6389,12412,"Dev_Pervious-D-Low-Unconfined",2,44.724567,0.01,400
6389,12421,"Dev_Pervious-D-Med-Confined",2,157.867967,0.05,300
6389,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6389,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6389,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6389,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6389,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6389,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6389,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6389,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6389,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6389,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6389,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6389,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6389,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6389,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6389,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6389,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6389,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6389,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6389,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6389,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6389,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6389,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6389,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6389,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6389,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6389,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6389,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6389,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
6389,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6389,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6389,14321,"Veg_Low-C-Med-Confined",2,18.713503,0.1,300
6389,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6389,14331,"Veg_Low-C-High-Confined",2,0.000359,0.16,400
6389,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6389,14421,"Veg_Low-D-Med-Confined",2,91.34859,0.1,300
6389,14422,"Veg_Low-D-Med-Unconfined",2,20.867327,0.01,300
6389,14431,"Veg_Low-D-High-Confined",2,0.106975,0.31,400
6389,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6389,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6389,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
6389,15131,"Veg_High-A-High-Confined",2,0,0.01,400
